Calibration


// N (0°)
//   ADC: | Voltage:
ADC: 62.| Voltage: 0.200V.
ADC: 63.| Voltage: 0.203V.
ADC: 63.| Voltage: 0.203V.
ADC: 62.| Voltage: 0.200V.
ADC: 63.| Voltage: 0.203V.
ADC: 63.| Voltage: 0.203V.
ADC: 61.| Voltage: 0.197V.
ADC: 62.| Voltage: 0.200V.
ADC: 54.| Voltage: 0.174V.
ADC: 61.| Voltage: 0.197V.
ADC: 66.| Voltage: 0.213V.
ADC: 62.| Voltage: 0.200V.
ADC: 64.| Voltage: 0.206V.
ADC: 65.| Voltage: 0.210V.
ADC: 63.| Voltage: 0.203V.

// SSW (202.5°)
//   ADC: | Voltage:

ADC: 130.| Voltage: 0.419V.
ADC: 129.| Voltage: 0.416V.
ADC: 131.| Voltage: 0.423V.
ADC: 132.| Voltage: 0.426V.
ADC: 131.| Voltage: 0.423V.
ADC: 130.| Voltage: 0.419V.
ADC: 127.| Voltage: 0.410V.
ADC: 132.| Voltage: 0.426V.
ADC: 130.| Voltage: 0.419V.
ADC: 132.| Voltage: 0.426V.
ADC: 133.| Voltage: 0.429V.
ADC: 129.| Voltage: 0.416V.
ADC: 132.| Voltage: 0.426V.
ADC: 140.| Voltage: 0.452V.
ADC: 130.| Voltage: 0.419V.
ADC: 131.| Voltage: 0.423V.

// SW (225°)
//   ADC: | Voltage:

ADC: 130.| Voltage: 0.419V.
ADC: 131.| Voltage: 0.423V.
ADC: 130.| Voltage: 0.419V.
ADC: 132.| Voltage: 0.426V.
ADC: 128.| Voltage: 0.413V.
ADC: 129.| Voltage: 0.416V.
ADC: 131.| Voltage: 0.423V.
ADC: 133.| Voltage: 0.429V.
ADC: 127.| Voltage: 0.410V.
ADC: 125.| Voltage: 0.403V.
ADC: 134.| Voltage: 0.432V.
ADC: 138.| Voltage: 0.445V.
ADC: 128.| Voltage: 0.413V.
ADC: 129.| Voltage: 0.416V.
ADC: 130.| Voltage: 0.419V.
ADC: 129.| Voltage: 0.416V.
ADC: 130.| Voltage: 0.419V.
ADC: 133.| Voltage: 0.429V.
ADC: 130.| Voltage: 0.419V.
ADC: 129.| Voltage: 0.416V.
ADC: 133.| Voltage: 0.429V.
ADC: 133.| Voltage: 0.429V.
ADC: 132.| Voltage: 0.426V.
ADC: 128.| Voltage: 0.413V.
ADC: 133.| Voltage: 0.429V.
ADC: 122.| Voltage: 0.394V.

// WSW (247.5°)
//   ADC: | Voltage:

// W (270°)
//   ADC: | Voltage:

ADC: 205.| Voltage: 0.661V.
ADC: 209.| Voltage: 0.674V.
ADC: 208.| Voltage: 0.671V.
ADC: 207.| Voltage: 0.668V.
ADC: 210.| Voltage: 0.677V.
ADC: 209.| Voltage: 0.674V.
ADC: 208.| Voltage: 0.671V.
ADC: 213.| Voltage: 0.687V.
ADC: 211.| Voltage: 0.681V.
ADC: 210.| Voltage: 0.677V.
ADC: 211.| Voltage: 0.681V.
ADC: 211.| Voltage: 0.681V.
ADC: 205.| Voltage: 0.661V.
ADC: 206.| Voltage: 0.665V.
ADC: 213.| Voltage: 0.687V.
ADC: 211.| Voltage: 0.681V.
ADC: 210.| Voltage: 0.677V.
ADC: 213.| Voltage: 0.687V.
ADC: 210.| Voltage: 0.677V.
ADC: 209.| Voltage: 0.674V.

// WNW (292.5°)
//   ADC: | Voltage:

ADC: 178.| Voltage: 0.574V.
ADC: 175.| Voltage: 0.565V.
ADC: 178.| Voltage: 0.574V.
ADC: 175.| Voltage: 0.565V.
ADC: 172.| Voltage: 0.555V.
ADC: 184.| Voltage: 0.594V.
ADC: 177.| Voltage: 0.571V.

// NW (315°)
//   ADC: | Voltage:

ADC: 508.| Voltage: 1.639V.
ADC: 509.| Voltage: 1.642V.
ADC: 508.| Voltage: 1.639V.
ADC: 510.| Voltage: 1.645V.
ADC: 508.| Voltage: 1.639V.
ADC: 507.| Voltage: 1.635V.
ADC: 510.| Voltage: 1.645V.
ADC: 507.| Voltage: 1.635V.
ADC: 503.| Voltage: 1.623V.
ADC: 507.| Voltage: 1.635V.
ADC: 544.| Voltage: 1.755V.
ADC: 507.| Voltage: 1.635V.
ADC: 518.| Voltage: 1.671V.
ADC: 510.| Voltage: 1.645V.
ADC: 510.| Voltage: 1.645V.
ADC: 507.| Voltage: 1.635V.
ADC: 508.| Voltage: 1.639V.
ADC: 509.| Voltage: 1.642V.
ADC: 509.| Voltage: 1.642V.
ADC: 508.| Voltage: 1.639V.
ADC: 510.| Voltage: 1.645V.
ADC: 505.| Voltage: 1.629V.
ADC: 503.| Voltage: 1.623V.
ADC: 507.| Voltage: 1.635V.
ADC: 512.| Voltage: 1.652V.
